,date,project,relative_interest
584,2004-08-01,test-unit,56.0
585,2004-08-01,express,93.0
586,2004-08-01,pandas,0.0
587,2004-08-01,rspec,0.0
588,2004-08-01,statsample,0.0
589,2004-08-01,wt,89.0
590,2004-08-01,Catch2,0.0
591,2004-08-01,backbone,32.0
592,2004-08-01,brakeman,0.0
593,2004-08-01,d3,18.0
594,2004-08-01,flask,56.0
595,2004-08-01,grape,51.0
596,2004-08-01,libtomcrypt,75.0
597,2004-08-01,moa,27.0
598,2004-08-01,sciruby,0.0
599,2004-08-01,sorcery,0.0
600,2004-08-01,spark,22.0
601,2004-08-01,zaproxy,0.0
602,2004-08-01,brain.js,0.0
603,2004-08-01,jstat,0.0
604,2004-08-01,nmatrix,0.0
605,2004-08-01,node js,0.0
606,2004-08-01,orange3,0.0
607,2004-08-01,playframework,44.0
608,2004-08-01,pytorch,0.0
609,2004-08-01,roda,24.0
610,2004-08-01,tensorflow ruby,0.0
611,2004-08-01,web2py,0.0
612,2004-08-01,eve,60.0
613,2004-08-01,bouncy castle,0.0
614,2004-08-01,cpprestsdk,152.0
615,2004-08-01,helmet,69.0
616,2004-08-01,koa,67.0
617,2004-08-01,react,1.0
618,2004-08-01,restbed,76.0
619,2004-08-01,Chart.js,0.0
620,2004-08-01,cypress,91.0
621,2004-08-01,dask,0.0
622,2004-08-01,h2o-3,51.0
623,2004-08-01,hanami,0.0
624,2004-08-01,jest,25.0
625,2004-08-01,synaptic,82.0
626,2004-08-01,jsrsasign,0.0
627,2004-08-01,junit5,31.0
628,2004-08-01,nsp,38.0
629,2004-08-01,pistache,0.0
630,2004-08-01,tensorflow,0.0
631,2004-08-01,vue,44.0
632,2004-08-01,weka 3.8,0.0
633,2004-08-01,cppunit,100.0
634,2004-08-01,tfjs,0.0
635,2004-08-01,fastapi,0.0
636,2004-08-01,deeplearning4j,31.0
637,2004-08-01,faces,149.0
638,2004-08-01,owasp java,20.0
639,2004-08-01,armadillo code,122.0
640,2004-09-01,mlpack,0.0
641,2004-09-01,robotframework,65.0
642,2004-09-01,openssl,129.0
643,2004-09-01,ITK,123.0
644,2004-09-01,junit4,0.0
645,2004-09-01,struts1,382.0
646,2004-09-01,PyTables,92.0
647,2004-09-01,pycrypto,79.0
648,2004-09-01,paramiko,0.0
649,2004-09-01,rails,8.0
650,2004-09-01,camping,40.0
651,2004-09-01,django,0.0
652,2004-09-01,botan,19.0
653,2004-09-01,pytest,0.0
654,2004-09-01,struts,172.0
655,2004-09-01,testng,0.0
656,2004-09-01,Resteasy,0.0
657,2004-09-01,cppcms,86.0
658,2004-09-01,mahout,36.0
659,2004-09-01,cxf,10.0
660,2004-09-01,googletest,34.0
661,2004-09-01,minitest,45.0
662,2004-09-01,qunit,0.0
663,2004-09-01,spring-framework,142.0
664,2004-09-01,test-unit,79.0
665,2004-09-01,express,92.0
666,2004-09-01,pandas,1.0
667,2004-09-01,rspec,11.0
668,2004-09-01,statsample,0.0
669,2004-09-01,wt,102.0
670,2004-09-01,Catch2,100.0
671,2004-09-01,backbone,38.0
672,2004-09-01,brakeman,0.0
673,2004-09-01,d3,22.0
674,2004-09-01,flask,51.0
675,2004-09-01,grape,79.0
676,2004-09-01,libtomcrypt,0.0
677,2004-09-01,moa,7.0
678,2004-09-01,sciruby,0.0
679,2004-09-01,sorcery,75.0
680,2004-09-01,spark,25.0
681,2004-09-01,zaproxy,76.0
682,2004-09-01,brain.js,0.0
683,2004-09-01,jstat,87.0
684,2004-09-01,nmatrix,0.0
685,2004-09-01,node js,4.0
686,2004-09-01,orange3,36.0
687,2004-09-01,playframework,9.0
688,2004-09-01,pytorch,0.0
689,2004-09-01,roda,23.0
690,2004-09-01,tensorflow ruby,0.0
691,2004-09-01,web2py,0.0
692,2004-09-01,eve,77.0
693,2004-09-01,bouncy castle,40.0
694,2004-09-01,cpprestsdk,166.0
695,2004-09-01,helmet,54.0
696,2004-09-01,koa,75.0
697,2004-09-01,react,1.0
698,2004-09-01,restbed,86.0
699,2004-09-01,Chart.js,27.0
700,2004-09-01,cypress,90.0
701,2004-09-01,dask,0.0
702,2004-09-01,h2o-3,109.0
703,2004-09-01,hanami,0.0
704,2004-09-01,jest,56.0
705,2004-09-01,synaptic,74.0
706,2004-09-01,jsrsasign,100.0
707,2004-09-01,junit5,0.0
708,2004-09-01,nsp,16.0
709,2004-09-01,pistache,0.0
710,2004-09-01,tensorflow,0.0
711,2004-09-01,vue,40.0
712,2004-09-01,weka 3.8,0.0
713,2004-09-01,cppunit,87.0
714,2004-09-01,tfjs,0.0
715,2004-09-01,fastapi,0.0
716,2004-09-01,deeplearning4j,0.0
717,2004-09-01,faces,179.0
718,2004-09-01,owasp java,0.0
719,2004-09-01,armadillo code,63.0
720,2004-10-01,mlpack,22.0
721,2004-10-01,robotframework,134.0
722,2004-10-01,openssl,115.0
723,2004-10-01,ITK,43.0
724,2004-10-01,junit4,33.0
725,2004-10-01,struts1,342.0
726,2004-10-01,PyTables,0.0
727,2004-10-01,pycrypto,119.0
728,2004-10-01,paramiko,0.0
729,2004-10-01,rails,14.0
730,2004-10-01,camping,26.0
731,2004-10-01,django,2.0
732,2004-10-01,botan,0.0
733,2004-10-01,pytest,0.0
734,2004-10-01,struts,172.0
735,2004-10-01,testng,8.0
736,2004-10-01,Resteasy,0.0
737,2004-10-01,cppcms,90.0
738,2004-10-01,mahout,0.0
739,2004-10-01,cxf,0.0
740,2004-10-01,googletest,52.0
741,2004-10-01,minitest,54.0
742,2004-10-01,qunit,50.0
743,2004-10-01,spring-framework,137.0
744,2004-10-01,test-unit,78.0
745,2004-10-01,express,86.0
746,2004-10-01,pandas,1.0
747,2004-10-01,rspec,0.0
748,2004-10-01,statsample,0.0
749,2004-10-01,wt,84.0
750,2004-10-01,Catch2,0.0
751,2004-10-01,backbone,34.0
752,2004-10-01,brakeman,0.0
753,2004-10-01,d3,16.0
754,2004-10-01,flask,62.0
755,2004-10-01,grape,43.0
756,2004-10-01,libtomcrypt,0.0
757,2004-10-01,moa,13.0
758,2004-10-01,sciruby,0.0
759,2004-10-01,sorcery,0.0
760,2004-10-01,spark,25.0
761,2004-10-01,zaproxy,57.0
762,2004-10-01,brain.js,0.0
763,2004-10-01,jstat,0.0
764,2004-10-01,nmatrix,34.0
765,2004-10-01,node js,52.0
766,2004-10-01,orange3,0.0
767,2004-10-01,playframework,0.0
768,2004-10-01,pytorch,0.0
769,2004-10-01,roda,17.0
770,2004-10-01,tensorflow ruby,0.0
771,2004-10-01,web2py,0.0
772,2004-10-01,eve,55.0
773,2004-10-01,bouncy castle,69.0
774,2004-10-01,cpprestsdk,183.0
775,2004-10-01,helmet,55.0
776,2004-10-01,koa,59.0
777,2004-10-01,react,1.0
778,2004-10-01,restbed,156.0
779,2004-10-01,Chart.js,0.0
780,2004-10-01,cypress,80.0
781,2004-10-01,dask,0.0
782,2004-10-01,h2o-3,65.0
783,2004-10-01,hanami,0.0
784,2004-10-01,jest,58.0
785,2004-10-01,synaptic,99.0
786,2004-10-01,jsrsasign,0.0
787,2004-10-01,junit5,0.0
788,2004-10-01,nsp,33.0
789,2004-10-01,pistache,0.0
790,2004-10-01,tensorflow,0.0
791,2004-10-01,vue,72.0
792,2004-10-01,weka 3.8,100.0
793,2004-10-01,cppunit,83.0
794,2004-10-01,tfjs,0.0
795,2004-10-01,fastapi,6.0
796,2004-10-01,deeplearning4j,0.0
797,2004-10-01,faces,149.0
798,2004-10-01,owasp java,0.0
799,2004-10-01,armadillo code,108.0
